Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Daily_meals_frequency,Carbs,Proteins,Fats,Calories,sugar_g,sodium_mg,cholesterol_mg,Burns_Calories_per_30_min,Difficulty_Level,lean_mass_kg
18.0,Female,64.01,1.63,161.7,120.44,73.06,26.843215360604923,2.19,3.01,1.0,24.09,3.0,214.64,85.59,57.27,1758.0,43.07,2069.47,4.82,359.03,Intermediate,46.8276578476768
18.0,Female,62.43,1.59,190.02,161.38,50.38,26.635811730396675,2.18,4.01,2.0,24.69,3.01,217.52,86.76,58.54,1857.0,15.12,1253.85,212.37,341.52,Beginner,45.80126273671336
43.69,Female,42.16,1.66,172.79,134.26,53.17,21.13820340651529,1.88,2.01,1.0,15.3,3.03,332.81,133.7,88.57,1142.0,7.39,927.13,79.46,335.87,Beginner,33.24813344381315
30.47,Male,87.22,1.69,185.09,129.92,64.85,29.381819818670085,3.51,4.01,3.01,30.54,3.0,293.13,116.49,78.24,2619.0,29.7,1928.82,61.55,343.62,Advanced,61.59317675415595
36.85,Male,76.15,1.82,191.78,120.66,50.15,26.70870756569342,2.8,3.98,2.01,22.99,3.02,190.36,76.31,50.8,1891.0,2.45,2418.4,109.9,343.73,Beginner,55.81131918872447
18.8,Female,127.92,1.92,184.44,168.17,69.96,32.137482441866815,3.0,3.99,2.02,34.7,2.99,233.71,93.24,61.85,3376.0,17.72,2486.74,265.81,342.75,Beginner,86.80973246036397
24.11,Male,58.82,1.76,189.09,129.86,72.93,23.042199944788766,1.69,3.04,1.0,18.99,2.99,296.4,119.17,79.57,1760.0,6.13,899.07,125.65,339.54,Advanced,45.26657799247525
41.04,Female,82.17,1.66,176.8,138.34,74.12,30.284776579530742,3.5,4.99,3.01,29.82,3.99,265.42,106.58,71.22,2327.0,45.23,591.33,78.78,346.59,Beginner,57.28499908459958
42.15,Female,60.3,1.74,194.87,140.88,52.12,20.866060956213715,2.69,5.02,3.02,19.92,2.99,201.73,80.56,53.87,1844.0,34.93,2080.29,206.99,364.54,Advanced,47.71776524340313
28.23,Male,79.51,1.59,180.81,130.24,54.05,32.375722484306486,1.51,3.02,1.98,31.45,1.98,207.92,83.89,56.62,2204.0,17.69,163.98,175.8,359.58,Intermediate,53.76806305272791
53.32,Female,55.68,1.55,170.93,140.91,53.96,23.802880356141856,1.8,3.98,2.01,23.18,2.02,218.11,86.97,57.62,1686.0,39.62,1265.94,117.13,331.29,Advanced,42.42655621770022
43.07,Male,66.62,1.85,169.95,121.09,58.27,20.625549461389365,3.2,1.98,1.0,19.47,2.99,294.52,116.97,78.33,1625.0,18.37,2220.22,103.57,368.93,Intermediate,52.8792589488224
26.92,Male,103.9,1.68,162.06,134.87,61.98,34.33074085871076,3.48,3.03,2.01,36.81,4.01,303.62,121.46,81.55,2877.0,46.8,873.33,259.53,351.72,Intermediate,68.23036024779952
43.35,Male,82.51,1.95,181.1,159.89,69.97,26.181430169818924,3.5,5.01,2.97,21.7,4.01,278.15,112.06,74.19,2381.0,40.48,2464.16,99.44,337.98,Intermediate,60.90770196688241
40.03,Female,62.99,1.53,197.11,142.95,73.33,28.83336054527089,2.7,5.03,3.02,26.91,4.01,365.05,146.28,97.25,1952.0,27.35,2373.55,214.36,357.99,Intermediate,44.82786619253388
41.29,Male,43.56,1.77,181.94,165.14,58.1,18.550935162257385,1.6,3.01,1.01,13.9,2.0,275.13,111.49,74.23,1264.0,47.45,334.13,293.4,164.77,Advanced,35.479212643320686
19.32,Male,73.18,1.79,177.33,124.77,60.96,21.10685278795888,1.62,2.98,1.0,22.84,3.0,218.96,88.29,58.24,2062.0,5.17,1170.78,248.88,332.18,Advanced,57.7340051297717
30.0,Male,51.78,1.74,174.2,150.11,64.2,24.925648637912527,2.0,3.0,2.0,17.1,2.98,237.92,94.96,62.69,1524.0,7.87,2292.03,38.56,332.85,Intermediate,38.873499135288895
51.69,Female,70.91,1.72,193.87,143.13,65.98,27.330750246929725,2.61,3.0,2.02,23.97,2.99,231.65,92.08,61.08,1946.0,18.94,289.93,234.47,335.2,Beginner,51.52976499990213
32.54,Female,62.21,1.63,190.31,160.86,58.16,25.792049793569173,2.69,5.02,2.99,23.41,3.01,217.93,87.58,57.79,1806.0,36.0,1467.86,163.95,330.95,Intermediate,46.164765823420616
21.87,Female,51.25,1.59,196.92,139.06,66.12,24.917111505699467,1.8,3.07,2.0,20.27,3.0,201.46,79.89,53.95,1252.0,37.21,1836.59,17.25,331.62,Beginner,38.47998035332903
45.08,Female,51.38,1.65,170.2,136.15,50.08,23.58927482645203,2.29,2.0,1.0,18.87,3.0,233.19,93.15,61.59,1430.0,10.68,1454.39,247.46,335.22,Intermediate,39.25983059416895
34.09,Male,66.37,1.62,199.27,163.97,55.91,26.57930595192323,2.19,2.0,1.01,25.29,3.02,208.16,83.98,55.66,1692.0,37.33,1702.05,231.48,347.56,Beginner,48.72931463970855
58.17,Male,109.07,1.91,197.8,155.84,55.87,27.77303969159638,2.2,3.0,2.02,29.9,2.99,305.8,122.92,82.09,2768.0,15.65,84.57,29.85,357.3,Advanced,78.77794560837583
45.59,Male,48.5,1.64,167.88,159.47,67.08,26.83565657002728,2.48,4.01,2.02,18.03,3.0,219.37,87.46,58.36,1372.0,25.53,2341.19,54.08,348.02,Beginner,35.48470656353677
25.05,Female,64.4,1.71,179.0,167.15,60.91,21.370673578146025,1.79,3.0,1.0,22.02,3.0,208.82,82.8,55.86,1688.0,7.31,1430.32,110.17,340.71,Intermediate,50.63728621567396
37.35,Female,54.63,1.57,170.31,150.23,61.93,27.02522771544833,2.42,3.0,1.01,22.16,3.01,204.42,82.01,54.55,1576.0,0.28,330.97,129.42,344.03,Advanced,39.86611809905058
54.23,Female,50.32,1.61,187.99,156.71,66.74,24.75825434838593,2.69,1.98,1.02,19.41,2.0,312.49,124.84,83.15,1231.0,26.3,1202.2,159.34,289.17,Advanced,37.8616464118922
36.43,Male,69.06,1.65,165.01,126.3,65.04,26.6521134151114,2.71,2.99,1.0,25.37,2.01,256.16,101.94,68.39,1920.0,10.49,110.61,36.86,341.94,Advanced,50.65405047552407
18.16,Male,73.38,1.55,172.29,124.49,56.24,32.0880694353723,2.01,3.0,1.0,30.54,1.99,188.06,75.78,50.59,1951.0,6.06,625.49,293.63,367.63,Advanced,49.8337746483238
47.62,Male,68.77,1.74,160.09,167.14,58.16,21.510634310436764,2.31,2.98,1.99,22.71,3.02,308.94,122.86,82.31,1807.0,48.61,1481.7,207.27,361.66,Advanced,53.97713678471264
37.42,Male,102.84,1.89,175.12,167.81,56.74,30.99245737603172,3.08,1.96,1.0,28.79,1.98,285.22,114.39,76.12,2633.0,27.64,410.25,0.76,365.45,Beginner,70.967356834489
32.14,Female,49.31,1.62,167.05,158.16,74.06,19.86285138369088,2.5,3.0,1.99,18.79,3.02,247.43,99.43,66.25,1346.0,25.22,302.42,60.58,330.85,Intermediate,39.51562798270203
30.09,Male,61.25,1.55,172.15,120.14,52.21,27.795914840801764,1.62,2.99,2.01,25.49,2.99,197.25,79.67,52.71,1620.0,44.27,1611.08,220.14,362.51,Beginner,44.22500216000891
24.35,Male,60.21,1.79,170.2,164.8,62.91,19.74443286702576,2.68,3.99,3.02,18.79,2.99,222.66,89.14,59.41,1664.0,3.64,451.87,120.43,345.56,Advanced,48.32187697076379
55.87,Female,58.91,1.56,181.73,155.5,57.19,24.30438665383292,2.62,3.99,2.02,24.21,3.01,302.69,122.1,80.96,1689.0,9.46,1471.0,113.25,175.21,Beginner,44.59228582222703
27.59,Female,86.65,1.76,197.18,121.27,60.07,32.37718066224315,3.49,3.02,1.99,27.97,3.0,276.43,109.4,73.46,2403.0,10.22,647.8,50.9,343.48,Advanced,58.59517295616631
25.12,Male,76.46,1.96,180.16,119.42,59.13,24.04088273843092,2.31,2.99,1.0,19.9,1.99,240.27,97.05,64.21,2041.0,45.83,383.5,68.22,332.71,Advanced,58.07834105819571
41.88,Male,76.57,1.97,165.42,157.38,65.05,25.522052180732533,2.61,2.98,2.01,19.73,4.01,194.99,78.38,51.54,2220.0,24.87,1837.75,154.3,348.56,Beginner,57.02776464521309
34.01,Female,111.91,1.85,162.08,133.87,65.77,33.8338844815787,3.57,3.97,2.0,32.7,2.0,284.57,112.18,75.28,3011.0,48.61,1466.23,208.01,350.32,Advanced,74.04649987666527
18.05,Female,126.66,1.67,171.68,153.23,60.1,35.0,2.19,2.98,2.0,45.42,2.99,295.7,118.88,78.45,3265.0,10.65,1146.09,-3.57,365.46,Beginner,82.329
31.65,Male,126.44,1.83,198.24,146.26,62.08,35.0,2.11,3.0,2.01,37.76,2.98,306.18,123.12,81.64,3287.0,44.81,115.38,181.85,362.61,Beginner,82.186
40.05,Female,70.05,1.55,171.04,163.03,73.99,30.96431118443072,1.51,3.01,1.0,29.16,3.99,283.55,111.76,74.73,1909.0,38.01,1933.69,147.86,353.5,Intermediate,48.359500015306274
42.77,Female,55.56,1.73,166.98,165.32,61.88,22.03459272374685,2.7,4.98,2.99,18.56,3.02,302.12,121.29,80.75,1440.0,15.47,82.94,231.1,327.6,Beginner,43.31758028268624
56.81,Female,81.51,1.86,161.74,145.2,70.22,24.35505975682122,3.5,5.0,3.01,23.56,3.0,226.58,90.86,60.19,2115.0,48.11,2194.64,123.62,347.91,Beginner,61.65819079221503
38.21,Male,70.74,1.52,164.02,143.61,65.94,27.665167218433474,1.98,3.99,2.0,30.62,2.99,320.19,127.97,85.18,1902.0,28.94,1028.62,48.58,368.97,Intermediate,51.16966070968016
55.91,Female,88.72,1.68,176.07,152.46,64.95,33.54846201915898,3.5,5.0,3.01,31.43,3.01,196.91,78.21,51.68,2334.0,12.15,2218.5,200.91,338.84,Beginner,58.95580449660216
46.94,Female,40.41,1.76,172.68,131.41,62.96,16.372166889573982,2.21,3.03,1.0,13.05,4.01,251.34,99.57,66.64,1328.0,11.16,2279.21,72.46,334.02,Beginner,33.79400735992315
25.22,Male,104.98,1.88,173.78,155.85,67.0,28.96784777827399,2.29,2.98,1.98,29.7,4.0,197.85,79.85,53.1,2867.0,43.49,2091.99,257.08,357.67,Intermediate,74.56955340236797
45.12,Male,89.7,1.81,177.87,152.68,69.95,24.79921393602853,3.5,5.0,3.0,27.38,4.03,283.6,113.15,75.36,2638.0,20.67,216.65,120.99,355.44,Beginner,67.45510509938241
18.85,Female,85.21,1.85,194.9,156.16,61.86,27.50205103691949,3.49,4.04,2.99,24.9,2.99,314.61,125.15,83.93,2440.0,17.31,265.95,148.9,363.72,Advanced,61.775502311440896
52.28,Male,82.15,1.72,166.27,136.96,52.79,26.239898015868665,2.73,4.02,2.0,27.77,3.0,222.12,88.64,59.16,2206.0,6.77,1175.8,243.98,342.13,Intermediate,60.5939237799639
20.31,Female,76.43,1.62,168.27,132.17,50.8,29.395578278704896,2.61,3.99,2.0,29.12,2.01,200.77,80.5,53.3,2094.0,33.32,1035.88,222.9,331.98,Advanced,53.96295952158586
35.1,Male,43.89,1.62,196.15,157.36,65.15,18.700011995703427,2.0,2.02,1.0,16.72,1.97,170.94,68.59,46.07,1281.0,42.34,1366.95,84.82,337.14,Beginner,35.68256473508577
30.19,Female,77.76,1.78,165.87,130.04,62.01,26.25514926206454,2.57,4.01,1.99,24.54,3.98,284.52,114.08,76.54,2071.0,34.31,1200.94,253.46,351.28,Intermediate,57.34399593381862
55.55,Male,62.72,1.86,198.13,143.77,53.07,20.48472401946511,2.89,3.99,2.0,18.13,2.99,152.5,61.33,40.94,1671.0,18.43,104.91,54.29,359.6,Intermediate,49.87198109499148
32.61,Female,46.15,1.9,193.01,143.34,50.01,15.571617568572533,2.91,2.96,2.04,12.78,3.01,178.08,71.33,47.78,1252.0,15.43,2295.69,31.17,337.67,Beginner,38.96369849210378
22.99,Male,59.04,1.78,185.32,141.02,58.07,22.006132703441487,2.7,4.98,2.99,18.63,2.0,280.91,112.28,75.28,1637.0,12.63,2215.96,56.75,330.19,Beginner,46.04757925188815
32.36,Male,84.33,1.74,195.34,126.35,63.02,28.45389592185136,2.1,2.99,1.0,27.85,3.02,184.84,73.95,49.16,2210.0,38.84,862.96,30.15,362.42,Advanced,60.33482956910275
29.82,Female,121.23,2.0,179.01,160.07,59.86,25.89281483291118,3.33,3.99,2.04,30.31,3.01,241.12,96.32,64.31,3333.0,40.46,2374.22,151.04,349.74,Beginner,89.84014057806178
33.47,Male,64.49,1.63,185.92,120.19,73.86,22.674511856849705,2.69,5.0,3.0,24.27,3.99,246.03,97.66,65.39,1803.0,27.28,1453.69,68.61,337.23,Beginner,49.86720730351762
32.93,Male,74.13,1.76,191.96,145.33,65.93,24.36805630843466,1.52,4.0,1.99,23.93,4.0,181.25,71.54,47.69,1987.0,39.38,778.95,7.11,370.65,Intermediate,56.065959858557385
