,Age,Gender,Weight_kg,Height_m,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Burns_Calories_per_30_min,Difficulty_Level,Workout,lean_mass_kg
57,38.16,Female,44.9,1.68,20.66838612087244,2.42,2.98,2.02,15.91,338.1,Beginner,Chest flyes,35.61989463172827
58,26.29,Female,59.21,1.51,24.98062256347282,2.71,4.97,3.02,25.97,355.43,Beginner,Incline dumbbell flyes,44.41897338016774
59,26.92,Male,87.68,1.63,29.90042295012659,3.5,4.99,3.03,33.0,372.07,Advanced,Leg raises,61.46330915732901
60,45.05,Male,63.63,1.54,29.042268221161752,2.71,3.99,3.01,26.83,368.48,Intermediate,Barbell squats,45.150404730874776
61,58.04,Female,109.54,1.91,30.72971438912612,2.22,3.02,2.0,30.03,357.61,Advanced,Leg curls,75.87867085815125
62,56.29,Female,125.88,1.86,35.0,2.2,3.04,2.01,36.39,366.43,Advanced,Dumbbell front raises,81.822
63,50.13,Female,70.32,1.68,29.252529769449342,2.51,1.98,1.0,24.91,259.05,Intermediate,Triceps dips,49.74962106612322
64,56.77,Male,85.56,1.69,28.59816726529328,3.49,5.0,3.01,29.96,346.69,Advanced,Crunches,61.09140808781508
65,33.93,Female,64.38,1.78,22.68075382819338,1.79,4.02,2.02,20.32,364.26,Beginner,Military press,49.7781306854091
66,18.77,Male,60.51,1.59,27.30236727987143,2.21,2.04,1.01,23.93,249.64,Advanced,Concentration curls,43.98933755894979
67,28.33,Female,69.13,1.58,28.50902646757633,2.0,2.98,2.01,27.69,335.25,Beginner,Dumbbell flyes,49.42171000296448
68,31.96,Male,97.49,1.96,26.502290685568045,3.4,3.01,1.99,25.38,371.13,Beginner,Decline dumbbell press,71.65291681063971
69,38.76,Male,85.97,1.82,28.148384968178654,3.5,5.03,3.02,25.95,340.61,Intermediate,Plate pinch,61.77083344285681
70,36.52,Male,56.0,1.57,28.373558365381864,2.42,2.02,1.01,22.72,340.72,Advanced,Wrist extension,40.11080731538616
71,52.85,Male,47.69,1.76,19.119865654275376,1.5,3.99,2.0,15.4,344.91,Beginner,Lateral raises,38.57173606947608
72,18.0,Female,64.01,1.63,26.843215360604923,2.19,3.01,1.0,24.09,359.03,Intermediate,Leg raises,46.8276578476768
73,18.0,Female,62.43,1.59,26.635811730396675,2.18,4.01,2.0,24.69,341.52,Beginner,Preacher curls,45.80126273671336
74,43.69,Female,42.16,1.66,21.13820340651529,1.88,2.01,1.0,15.3,335.87,Beginner,Lateral raises,33.24813344381315
75,30.47,Male,87.22,1.69,29.381819818670085,3.51,4.01,3.01,30.54,343.62,Advanced,Bent-over lateral raises,61.59317675415595
76,36.85,Male,76.15,1.82,26.70870756569342,2.8,3.98,2.01,22.99,343.73,Beginner,Triceps dips,55.81131918872447
77,18.8,Female,127.92,1.92,32.137482441866815,3.0,3.99,2.02,34.7,342.75,Beginner,Barbell curls,86.80973246036397
78,24.11,Male,58.82,1.76,23.042199944788766,1.69,3.04,1.0,18.99,339.54,Advanced,Concentration curls,45.26657799247525
79,41.04,Female,82.17,1.66,30.284776579530742,3.5,4.99,3.01,29.82,346.59,Beginner,Leg curls,57.28499908459958
80,42.15,Female,60.3,1.74,20.866060956213715,2.69,5.02,3.02,19.92,364.54,Advanced,Plate pinch,47.71776524340313
81,28.23,Male,79.51,1.59,32.375722484306486,1.51,3.02,1.98,31.45,359.58,Intermediate,Triceps dips,53.76806305272791
82,53.32,Female,55.68,1.55,23.802880356141856,1.8,3.98,2.01,23.18,331.29,Advanced,Plate pinch,42.42655621770022
83,43.07,Male,66.62,1.85,20.625549461389365,3.2,1.98,1.0,19.47,368.93,Intermediate,Incline cable crossovers,52.8792589488224
84,26.92,Male,103.9,1.68,34.33074085871076,3.48,3.03,2.01,36.81,351.72,Intermediate,Hammer curl,68.23036024779952
85,43.35,Male,82.51,1.95,26.181430169818924,3.5,5.01,2.97,21.7,337.98,Intermediate,Bicycle crunches,60.90770196688241
86,40.03,Female,62.99,1.53,28.83336054527089,2.7,5.03,3.02,26.91,357.99,Intermediate,Bird dog,44.82786619253388
87,41.29,Male,43.56,1.77,18.550935162257385,1.6,3.01,1.01,13.9,164.77,Advanced,Bicep Curls,35.479212643320686
88,19.32,Male,73.18,1.79,21.10685278795888,1.62,2.98,1.0,22.84,332.18,Advanced,Concentration curls,57.7340051297717
89,30.0,Male,51.78,1.74,24.925648637912527,2.0,3.0,2.0,17.1,332.85,Intermediate,Bird dog,38.873499135288895
90,51.69,Female,70.91,1.72,27.330750246929725,2.61,3.0,2.02,23.97,335.2,Beginner,Barbell hip thrusts,51.52976499990213
91,32.54,Female,62.21,1.63,25.792049793569173,2.69,5.02,2.99,23.41,330.95,Intermediate,Incline dumbbell flyes,46.164765823420616
92,21.87,Female,51.25,1.59,24.917111505699467,1.8,3.07,2.0,20.27,331.62,Beginner,Leg curls,38.47998035332903
93,45.08,Female,51.38,1.65,23.58927482645203,2.29,2.0,1.0,18.87,335.22,Intermediate,Bird dog,39.25983059416895
94,34.09,Male,66.37,1.62,26.57930595192323,2.19,2.0,1.01,25.29,347.56,Beginner,Incline cable crossovers,48.72931463970855
95,58.17,Male,109.07,1.91,27.77303969159638,2.2,3.0,2.02,29.9,357.3,Advanced,Barbell rows,78.77794560837583
96,45.59,Male,48.5,1.64,26.83565657002728,2.48,4.01,2.02,18.03,348.02,Beginner,Hammer curls,35.48470656353677
97,25.05,Female,64.4,1.71,21.370673578146025,1.79,3.0,1.0,22.02,340.71,Intermediate,Leg raises,50.63728621567396
98,37.35,Female,54.63,1.57,27.02522771544833,2.42,3.0,1.01,22.16,344.03,Advanced,Wrist extension,39.86611809905058
99,54.23,Female,50.32,1.61,24.75825434838593,2.69,1.98,1.02,19.41,289.17,Advanced,Cable crossovers,37.8616464118922
100,36.43,Male,69.06,1.65,26.6521134151114,2.71,2.99,1.0,25.37,341.94,Advanced,Decline cable crossovers,50.65405047552407
101,18.16,Male,73.38,1.55,32.0880694353723,2.01,3.0,1.0,30.54,367.63,Advanced,Plate pinch,49.8337746483238
102,47.62,Male,68.77,1.74,21.510634310436764,2.31,2.98,1.99,22.71,361.66,Advanced,Leg raises,53.97713678471264
103,37.42,Male,102.84,1.89,30.99245737603172,3.08,1.96,1.0,28.79,365.45,Beginner,Leg raises,70.967356834489
104,32.14,Female,49.31,1.62,19.86285138369088,2.5,3.0,1.99,18.79,330.85,Intermediate,Pull-ups,39.51562798270203
105,30.09,Male,61.25,1.55,27.795914840801764,1.62,2.99,2.01,25.49,362.51,Beginner,Fat grip dumbbell curl,44.22500216000891
106,24.35,Male,60.21,1.79,19.74443286702576,2.68,3.99,3.02,18.79,345.56,Advanced,Hanging leg raises,48.32187697076379
107,55.87,Female,58.91,1.56,24.30438665383292,2.62,3.99,2.02,24.21,175.21,Beginner,Face pulls,44.59228582222703
108,27.59,Female,86.65,1.76,32.37718066224315,3.49,3.02,1.99,27.97,343.48,Advanced,Hammer curl,58.59517295616631
109,25.12,Male,76.46,1.96,24.04088273843092,2.31,2.99,1.0,19.9,332.71,Advanced,Bicep Curls,58.07834105819571
110,41.88,Male,76.57,1.97,25.522052180732533,2.61,2.98,2.01,19.73,348.56,Beginner,Dumbbell flyes,57.02776464521309
111,34.01,Female,111.91,1.85,33.8338844815787,3.57,3.97,2.0,32.7,350.32,Advanced,Plate pinch,74.04649987666527
112,18.05,Female,126.66,1.67,35.0,2.19,2.98,2.0,45.42,365.46,Beginner,Romanian deadlifts,82.329
113,31.65,Male,126.44,1.83,35.0,2.11,3.0,2.01,37.76,362.61,Beginner,Seated calf raises,82.186
114,40.05,Female,70.05,1.55,30.96431118443072,1.51,3.01,1.0,29.16,353.5,Intermediate,Incline cable crossovers,48.359500015306274
115,42.77,Female,55.56,1.73,22.03459272374685,2.7,4.98,2.99,18.56,327.6,Beginner,Dumbbell curls,43.31758028268624
116,56.81,Female,81.51,1.86,24.35505975682122,3.5,5.0,3.01,23.56,347.91,Beginner,Bicep Curls,61.65819079221503
117,38.21,Male,70.74,1.52,27.665167218433474,1.98,3.99,2.0,30.62,368.97,Intermediate,Barbell squats,51.16966070968016
118,55.91,Female,88.72,1.68,33.54846201915898,3.5,5.0,3.01,31.43,338.84,Beginner,Close-grip bench press,58.95580449660216
119,46.94,Female,40.41,1.76,16.372166889573982,2.21,3.03,1.0,13.05,334.02,Beginner,Decline cable crossovers,33.79400735992315
120,25.22,Male,104.98,1.88,28.96784777827399,2.29,2.98,1.98,29.7,357.67,Intermediate,Military press,74.56955340236797
121,45.12,Male,89.7,1.81,24.79921393602853,3.5,5.0,3.0,27.38,355.44,Beginner,Lateral raises,67.45510509938241
122,18.85,Female,85.21,1.85,27.50205103691949,3.49,4.04,2.99,24.9,363.72,Advanced,Bent-over lateral raises,61.775502311440896
123,52.28,Male,82.15,1.72,26.239898015868665,2.73,4.02,2.0,27.77,342.13,Intermediate,Face pulls,60.5939237799639
124,20.31,Female,76.43,1.62,29.395578278704896,2.61,3.99,2.0,29.12,331.98,Advanced,Bent-over lateral raises,53.96295952158586
125,35.1,Male,43.89,1.62,18.700011995703427,2.0,2.02,1.0,16.72,337.14,Beginner,Hammer curls,35.68256473508577
126,30.19,Female,77.76,1.78,26.25514926206454,2.57,4.01,1.99,24.54,351.28,Intermediate,Leg raises,57.34399593381862
127,55.55,Male,62.72,1.86,20.48472401946511,2.89,3.99,2.0,18.13,359.6,Intermediate,Bicep Curls,49.87198109499148
128,32.61,Female,46.15,1.9,15.571617568572533,2.91,2.96,2.04,12.78,337.67,Beginner,Concentration curls,38.96369849210378
129,22.99,Male,59.04,1.78,22.006132703441487,2.7,4.98,2.99,18.63,330.19,Beginner,Triceps pushdowns,46.04757925188815
130,32.36,Male,84.33,1.74,28.45389592185136,2.1,2.99,1.0,27.85,362.42,Advanced,Hammer curl,60.33482956910275
131,29.82,Female,121.23,2.0,25.89281483291118,3.33,3.99,2.04,30.31,349.74,Beginner,Bent-over rows,89.84014057806178
132,33.47,Male,64.49,1.63,22.674511856849705,2.69,5.0,3.0,24.27,337.23,Beginner,Romanian deadlifts,49.86720730351762
133,32.93,Male,74.13,1.76,24.36805630843466,1.52,4.0,1.99,23.93,370.65,Intermediate,Dumbbell front raises,56.065959858557385
134,53.67,Male,46.13,1.5,24.245785745448824,2.01,2.0,1.04,20.5,347.18,Intermediate,Decline dumbbell press,34.94541903562446
135,46.07,Male,59.73,1.65,23.46457319606598,2.7,3.97,2.99,21.94,367.09,Intermediate,Donkey kicks,45.71461042998978
136,38.86,Male,59.33,1.83,18.17478963836032,2.29,4.01,2.0,17.72,354.81,Intermediate,Triceps dips,48.54689730756082
137,18.82,Male,48.82,1.52,24.23699391402382,1.58,2.01,1.01,21.13,365.49,Advanced,Seated cable rows,36.98749957117357
138,36.06,Male,59.59,1.78,22.919448604808995,2.21,1.98,1.0,18.81,363.87,Beginner,Decline cable crossovers,45.932300576394326
139,55.19,Male,70.54,1.62,28.878120036343265,1.8,2.99,1.0,26.88,345.68,Beginner,Barbell hip thrusts,50.169374126363465
140,55.16,Male,86.69,1.77,26.43717196851418,2.8,3.0,2.01,27.67,336.96,Beginner,Cable crossovers,63.771615620495055
141,58.37,Female,51.69,1.79,19.123150543213058,2.98,3.0,1.0,16.13,335.51,Beginner,Hammer curl,41.80524348421317
142,51.01,Male,48.81,1.77,16.307540650728594,3.51,2.02,1.0,15.58,335.45,Beginner,Hanging leg raises,40.850289408379375
143,22.25,Male,61.76,1.52,23.711457786959848,2.7,5.0,3.02,26.73,363.43,Beginner,Triceps dips,47.1158036707736
144,49.35,Female,55.38,1.6,21.591266031899025,2.68,4.98,2.97,21.63,361.65,Intermediate,Bent-over lateral raises,43.42275687153432
145,56.94,Male,122.07,1.88,35.0,3.59,3.01,1.01,34.54,365.17,Intermediate,Face pulls,79.3455
146,23.04,Female,79.31,1.73,27.99586288268801,1.52,4.0,1.99,26.5,335.59,Advanced,Triceps pushdowns,57.10648114774015
147,38.73,Male,61.49,1.66,21.1641633369954,1.71,3.0,1.01,22.31,329.48,Beginner,Decline cable crossovers,48.47615596408153
148,59.07,Female,41.14,1.65,19.5595514518067,2.18,1.98,1.0,15.11,338.17,Intermediate,Hammer curls,33.093200532726726
149,50.87,Female,49.82,1.61,21.15121911307765,2.89,1.98,1.0,19.22,350.96,Beginner,Concentration curls,39.28246263786472
150,39.92,Female,57.36,1.71,20.46908792402956,2.7,4.97,2.99,19.62,344.63,Beginner,Russian twists,45.61893116677664
151,32.99,Male,46.09,1.89,16.391027432006762,2.89,3.05,2.0,12.9,339.06,Intermediate,Decline dumbbell flyes,38.535375456588085
152,57.41,Male,108.85,1.91,28.64542291177429,2.19,2.98,2.02,29.84,357.41,Intermediate,Wrist extension,77.66945716053368
153,57.39,Male,75.84,1.67,25.35652470365937,1.79,3.04,1.99,27.19,360.68,Beginner,Leg press,56.60961166474474
154,50.06,Female,56.07,1.6,27.76520521079724,2.7,5.01,3.01,21.9,361.38,Intermediate,Plank,40.50204943830599
155,39.67,Female,76.94,1.92,24.905416833904976,3.71,4.0,1.97,20.87,371.43,Intermediate,Crunches,57.77777228799352
156,23.37,Male,60.61,1.59,26.55356371904741,2.69,3.97,2.98,23.97,353.54,Intermediate,Bicycle crunches,44.51588502988536
157,47.27,Male,97.6,1.9,28.45905960557885,2.99,3.03,1.0,27.04,347.15,Intermediate,Dumbbell flyes,69.82395782495503
158,49.94,Male,51.05,1.69,22.160844204374545,3.01,1.99,1.0,17.87,356.86,Advanced,Leg extensions,39.73688903366679
159,48.16,Male,128.37,1.61,35.0,2.9,4.0,2.0,49.52,374.76,Advanced,Seated cable rows,83.4405
160,40.98,Female,44.1,1.77,15.062744977667531,1.62,3.02,1.0,14.08,164.89,Intermediate,Russian twists,37.45732946484862
161,45.22,Female,52.36,1.88,14.04663679462639,2.9,4.01,2.01,14.81,330.71,Intermediate,Donkey kicks,45.00518097433362
162,19.8,Male,76.05,1.77,26.302497501164986,2.0,4.0,1.99,24.27,353.68,Intermediate,Barbell rows,56.04695065036403
163,35.68,Female,47.75,1.68,20.16362568976236,1.61,3.01,1.02,16.92,332.34,Beginner,Plank,38.12186873313848
164,38.96,Female,101.99,1.94,27.19967077493434,2.39,3.01,1.0,27.1,368.3,Beginner,Dumbbell front raises,74.24905577664445
165,31.94,Female,86.24,1.6,35.0,3.49,5.01,2.96,33.69,343.36,Beginner,Plank,56.056
166,22.09,Female,70.57,1.77,24.417063017665548,1.8,3.0,1.0,22.53,342.32,Beginner,Incline cable crossovers,53.33887862843341
167,30.51,Female,77.23,1.77,24.2018822785929,2.63,4.01,2.02,24.65,350.6,Intermediate,Decline cable crossovers,58.5388863162427
168,42.19,Female,45.09,1.6,23.57879259529199,2.61,2.99,2.01,17.61,178.93,Intermediate,Standing calf raises,34.45832241878285
169,41.42,Female,81.32,1.87,24.425590375940928,3.5,5.01,2.98,23.25,345.11,Beginner,Plate pinch,61.45710990628483
170,52.04,Male,105.02,1.99,27.872821484426847,2.0,1.99,1.0,26.52,373.37,Intermediate,Dumbbell front raises,75.74796287705492
171,36.73,Female,73.46,1.76,27.512982951891463,1.9,3.0,2.01,23.72,332.02,Intermediate,Incline cable crossovers,53.24896272354053
172,38.95,Male,58.99,1.93,16.444944404035745,3.71,4.01,1.99,15.84,333.92,Intermediate,Crunches,49.28912729605931
173,22.85,Female,86.85,1.91,25.229482337918057,3.49,4.97,2.99,23.81,346.71,Advanced,Seated calf raises,64.93819458951816
174,21.15,Male,89.27,1.6,34.950296270123324,3.49,3.98,3.01,34.87,333.93,Beginner,Dumbbell curls,58.0698705196609
175,42.05,Male,57.48,1.57,25.15392984369169,2.7,4.0,3.0,23.32,331.38,Advanced,Hanging leg raises,43.021521125846014
176,44.91,Female,59.04,1.51,28.224476533187666,1.86,4.02,2.01,25.89,331.45,Beginner,Triceps pushdowns,42.376269054806
177,51.77,Female,86.0,1.8,29.21606896689808,3.5,5.0,2.98,26.54,361.44,Beginner,Bent-over lateral raises,60.87418068846765
178,36.56,Female,76.44,1.77,25.57677499387323,2.09,3.98,1.99,24.4,355.42,Intermediate,Bent-over rows,56.8891131946833
179,31.07,Male,53.08,1.76,21.673249961479044,1.79,3.98,2.0,17.14,363.78,Intermediate,Seated cable rows,41.57583892044692
180,45.59,Male,108.62,1.64,35.0,3.39,2.99,1.0,40.39,363.48,Beginner,Skull crushers,70.60300000000001
181,52.8,Female,94.04,1.95,27.694372700593,3.5,3.01,1.01,24.73,370.32,Advanced,Decline dumbbell press,67.99621191236234
182,29.92,Female,60.26,1.55,25.492548579175125,1.59,3.0,2.0,25.08,363.54,Intermediate,Dumbbell flyes,44.89819022618907
183,20.72,Female,100.38,1.84,32.0444410915968,3.29,1.97,1.01,29.65,375.87,Intermediate,Bent-over lateral raises,68.21379003225512
184,28.6,Female,87.41,1.86,27.503049695718595,3.5,4.03,2.99,25.27,363.34,Beginner,Incline dumbbell flyes,63.36958426097237
185,31.96,Female,84.31,1.74,30.83901313512696,2.1,2.99,1.01,27.85,363.17,Beginner,Face pulls,58.30962802577447
186,30.87,Female,48.74,1.51,25.24861104494097,1.99,2.01,1.0,21.38,165.32,Intermediate,Barbell squats,36.43382697669578
187,26.16,Female,110.74,1.9,33.153322729012665,2.2,1.99,1.0,30.68,360.61,Advanced,Donkey kicks,74.02601040989138
188,31.98,Female,84.22,1.74,28.970297857336003,2.09,2.96,1.0,27.82,362.54,Beginner,Chest flyes,59.821215144551616
189,23.26,Male,44.19,1.62,21.87566778349083,2.7,1.98,1.0,16.84,348.41,Intermediate,Plate pinch,34.5231424064754
190,49.23,Female,70.3,1.67,24.32365811741768,1.79,3.01,1.0,25.21,350.5,Beginner,Skull crushers,53.20046834345537
191,28.28,Male,85.11,1.79,27.772721291058048,2.31,4.01,1.97,26.56,347.86,Advanced,Dumbbell front raises,61.47263690918049
192,21.93,Female,61.58,1.52,26.103971435941105,2.72,4.99,3.02,26.65,362.62,Advanced,Seated cable rows,45.505174389747474
193,25.34,Male,40.94,1.67,17.719549964688245,2.4,3.01,1.99,14.68,362.78,Advanced,Incline dumbbell press,33.68561624445663
194,50.67,Male,48.56,1.77,15.487096150913986,3.49,2.02,1.0,15.5,334.23,Intermediate,Standing calf raises,41.03946610911617
195,22.79,Male,57.48,1.71,19.465692660719107,3.39,2.99,2.0,19.66,338.7,Advanced,Triceps dips,46.29111985861866
196,49.15,Male,60.97,1.87,23.131251290830225,3.0,4.0,1.98,17.44,335.66,Intermediate,Chest flyes,46.86687608798081
197,46.31,Male,109.01,1.64,35.0,3.4,3.02,1.02,40.53,362.68,Beginner,Bicycle crunches,70.85650000000001
198,23.07,Male,116.79,1.79,35.0,3.41,3.99,1.97,36.45,347.89,Beginner,Preacher curls,75.91350000000001
199,51.09,Male,48.78,1.77,17.493005125489216,3.48,1.98,1.0,15.57,335.2,Intermediate,Incline cable crossovers,40.24691209978637
200,32.12,Male,67.93,1.92,21.81795731119933,3.49,1.98,1.0,18.43,368.08,Beginner,Standing calf raises,53.1090615985023
201,18.85,Female,72.3,1.75,26.521335789744164,1.71,4.0,2.0,23.61,336.89,Advanced,Barbell rows,53.12507422401497
202,43.27,Female,54.42,1.72,23.161699668619423,2.31,4.01,2.02,18.4,328.57,Beginner,Incline dumbbell press,41.81540304033731
203,34.09,Female,53.6,1.52,29.764439562461096,2.2,2.97,1.01,23.2,344.25,Advanced,Barbell squats,37.64626039452085
204,28.36,Female,55.86,1.5,26.6656669866255,2.71,5.04,3.0,24.83,327.79,Advanced,Lateral raises,40.964558421271
205,40.35,Male,56.65,1.78,21.919897070219648,2.71,5.01,3.0,17.88,334.17,Advanced,Wrist curl,44.232378309720566
206,51.89,Female,50.02,1.78,21.189398021809364,2.31,1.99,1.0,15.79,351.3,Beginner,Seated calf raises,39.42106310949096
207,40.62,Female,66.86,1.69,24.98047151589916,3.4,1.98,1.0,23.41,350.18,Beginner,Incline dumbbell press,50.15805674446982
208,39.74,Male,72.14,1.6,28.89200445177726,1.88,3.0,1.0,28.18,357.13,Beginner,Bicep Curls,51.29730798848788
